dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_800_1200_320,0,init,10353,10321.4,10259,12000,0.86275,0.8601166666666666,29.146648243000072,870.853350975,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,1,evolution,10469,10383.975,10340,12000,0.8724166666666666,0.86533125,55.10736621700016,844.8926320119999,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,2,evolution,10492,10401.8,10329,12000,0.8743333333333333,0.8668166666666666,81.10732422799992,818.892674054,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,3,evolution,10503,10400.25,10333,12000,0.87525,0.8666875,106.90022598900032,793.0997723979999,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,4,evolution,10503,10400.475,10325,12000,0.87525,0.86670625,132.81046254800003,767.189535426,1,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,5,evolution,10503,10399.575,10326,12000,0.87525,0.8666312500000001,158.71212275200014,741.28787564,2,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,6,evolution,10503,10408.125,10334,12000,0.87525,0.86734375,184.3131093750003,715.6868889959997,3,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,7,evolution,10503,10395.375,10322,12000,0.87525,0.86628125,210.06192622000026,689.9380722719998,4,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,8,evolution,10503,10397.25,10336,12000,0.87525,0.8664375,235.81960884499995,664.1803897350001,5,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,9,evolution,10512,10397.225,10327,12000,0.876,0.8664354166666667,261.57284727700016,638.4271509790001,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,10,evolution,10512,10402.175,10336,12000,0.876,0.8668479166666666,287.42965582600027,612.5703427129997,1,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,11,evolution,10512,10409.125,10336,12000,0.876,0.8674270833333333,313.17110462200026,586.82889393,2,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,12,evolution,10512,10404.4,10330,12000,0.876,0.8670333333333333,339.10629825800015,560.8937003719998,3,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,13,evolution,10512,10409.55,10333,12000,0.876,0.8674624999999999,364.8183921110003,535.181606313,4,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,14,evolution,10512,10413.775,10342,12000,0.876,0.8678145833333333,390.77990239300016,509.2200961389999,5,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,15,evolution,10512,10396.225,10329,12000,0.876,0.8663520833333334,416.80897502100015,483.19102328100007,6,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,16,evolution,10512,10410.6,10343,12000,0.876,0.86755,443.046913612,456.9530849319999,7,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,17,evolution,10512,10404.875,10337,12000,0.876,0.8670729166666666,469.01099535799995,430.989003141,8,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,18,evolution,10512,10394.5,10332,12000,0.876,0.8662083333333334,494.7888215920002,405.2111771699997,9,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,19,evolution,10512,10402.5,10323,12000,0.876,0.866875,520.654563172,379.34543555699975,10,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,19,restart,10512,10370.325,10314,12000,0.876,0.8641937500000001,547.3623466190002,352.6376520009999,0,40,5,0.85,0.9,ox,mixed,3,random,42
Adversarial,Adversarial_800_1200_320,20,evolution,10512,10402.975,10321,12000,0.876,0.8669145833333334,574.402473779,325.5975249339999,1,40,5,0.85,0.9,ox,mixed,3,random,42
