dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_200_300_80,0,init,2355,2340.95,2328,3000,0.785,0.7803166666666667,2.5677389379998203,357.4322602930006,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,1,evolution,2411,2367.5,2341,3000,0.8036666666666666,0.7891666666666667,4.809012754999458,355.1909856350003,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,2,evolution,2432,2381.4,2345,3000,0.8106666666666666,0.7938000000000001,7.104449634000048,352.89554851699995,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,3,evolution,2432,2373.425,2331,3000,0.8106666666666666,0.7911416666666667,9.35651328699987,350.6434852889997,1,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,4,evolution,2432,2376.275,2340,3000,0.8106666666666666,0.7920916666666667,11.601183678999405,348.3988142930002,2,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,5,evolution,2432,2377.1,2345,3000,0.8106666666666666,0.7923666666666667,13.830822619999708,346.1691760630001,3,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,6,evolution,2432,2377.25,2348,3000,0.8106666666666666,0.7924166666666667,16.103350890999536,343.8966474230001,4,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,7,evolution,2432,2370.825,2332,3000,0.8106666666666666,0.790275,18.3374949680001,341.66250356599994,5,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,8,evolution,2432,2380.35,2339,3000,0.8106666666666666,0.79345,20.565332614999534,339.43466599600015,6,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,9,evolution,2432,2377.925,2338,3000,0.8106666666666666,0.7926416666666667,22.819306255999436,337.1806917929998,7,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,10,evolution,2432,2379.825,2338,3000,0.8106666666666666,0.793275,25.096933492999597,334.903064569,8,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,11,evolution,2432,2380.9,2344,3000,0.8106666666666666,0.7936333333333334,27.344907914000032,332.6550906299999,9,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,12,evolution,2432,2384.425,2347,3000,0.8106666666666666,0.7948083333333333,29.573124855999595,330.4268734940006,10,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,12,restart,2432,2378.5,2323,3000,0.8106666666666666,0.7928333333333333,31.808243909999874,328.1917546149998,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,13,evolution,2432,2386.375,2354,3000,0.8106666666666666,0.7954583333333334,34.1315907219996,325.86840762500015,1,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,14,evolution,2432,2383.65,2349,3000,0.8106666666666666,0.79455,36.42026305899981,323.57973541000047,2,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,15,evolution,2432,2389.075,2356,3000,0.8106666666666666,0.7963583333333333,38.68199583400019,321.31800288700015,3,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,16,evolution,2435,2381.075,2343,3000,0.8116666666666666,0.7936916666666666,40.927939270000024,319.0720593850001,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,17,evolution,2440,2384.85,2354,3000,0.8133333333333334,0.7949499999999999,43.174219571999856,316.82577893100006,0,40,5,0.85,0.9,ox,mixed,3,random,42
Exponential,Exponential_200_300_80,18,evolution,2440,2384.625,2348,3000,0.8133333333333334,0.794875,45.47344339499978,314.5265549380001,1,40,5,0.85,0.9,ox,mixed,3,random,42
