dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_1000_1500_400,0,init,14651,14615.0,14566,15000,0.9767333333333333,0.9743333333333334,87.11958276000041,812.8804164989997,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,1,evolution,14783,14682.875,14638,15000,0.9855333333333334,0.9788583333333334,175.8129003030008,724.1870983339995,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,2,evolution,14783,14703.05,14643,15000,0.9855333333333334,0.9802033333333333,264.8920395990008,635.1079589479996,1,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,3,evolution,14785,14705.6,14636,15000,0.9856666666666667,0.9803733333333333,353.9947569699998,546.0052412269997,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,4,evolution,14785,14699.85,14634,15000,0.9856666666666667,0.97999,441.86370382800123,458.1362950499988,1,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,5,evolution,14786,14700.525,14637,15000,0.9857333333333334,0.980035,530.2263825580012,369.7736157010004,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,6,evolution,14792,14706.125,14634,15000,0.9861333333333333,0.9804083333333333,618.8744781639998,281.12552047200006,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,7,evolution,14792,14703.375,14639,15000,0.9861333333333333,0.980225,706.7257194840004,193.27427916099987,1,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,8,evolution,14815,14714.475,14632,15000,0.9876666666666667,0.980965,795.1844366320001,104.81556216900026,0,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,9,evolution,14815,14712.6,14617,15000,0.9876666666666667,0.98084,882.7864450500001,17.21355344999938,1,40,5,0.85,0.9,ox,mixed,3,random,42
Gaussian,Gaussian_1000_1500_400,10,evolution,14815,14749.25,14669,15000,0.9876666666666667,0.9832833333333333,900.4406858040002,0.0,2,12,5,0.85,0.9,ox,mixed,3,random,42
