dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_1000_1500_400,0,init,14371,14331.35,14287,14999,0.9581305420361358,0.9554870324688313,58.611418631999186,841.3885804630008,0,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,1,evolution,14576,14454.575,14358,14999,0.9717981198746584,0.9637025801720115,118.23063716700017,781.7693609470007,0,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,2,evolution,14609,14479.65,14379,14999,0.9739982665511034,0.9653743582905526,177.74697629900038,722.253022414001,0,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,3,evolution,14609,14484.1,14376,14999,0.9739982665511034,0.9656710447363158,237.03347227599988,662.9665263030001,1,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,4,evolution,14631,14480.6,14368,14999,0.9754650310020668,0.9654376958463898,296.44619632799913,603.5538021480006,0,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,5,evolution,14631,14482.575,14360,14999,0.9754650310020668,0.9655693712914195,355.2028434919994,544.797155061,1,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,6,evolution,14631,14479.775,14378,14999,0.9754650310020668,0.9653826921794786,414.6222116989993,485.37778683299985,2,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,7,evolution,14631,14489.825,14372,14999,0.9754650310020668,0.9660527368491233,474.14165418099947,425.8583443740008,3,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,8,evolution,14631,14501.375,14360,14999,0.9754650310020668,0.9668227881858791,533.305988398999,366.69401003799976,4,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,9,evolution,14631,14463.7,14351,14999,0.9754650310020668,0.9643109540636043,591.146543195,308.8534554529997,5,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,10,evolution,14631,14508.575,14391,14999,0.9754650310020668,0.9673028201880126,651.0088310150004,248.99116758499986,6,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,11,evolution,14631,14481.475,14377,14999,0.9754650310020668,0.9654960330688713,709.5183895600003,190.4816089750002,7,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,12,evolution,14631,14496.575,14389,14999,0.9754650310020668,0.9665027668511235,767.9579494289992,132.0420491040004,8,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,13,evolution,14631,14487.45,14385,14999,0.9754650310020668,0.9658943929595307,826.6821104270002,73.31788734400106,9,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,14,evolution,14631,14484.625,14351,14999,0.9754650310020668,0.9657060470698047,885.2590447139992,14.740953279000678,10,40,5,0.85,0.9,ox,mixed,3,random,42
Poisson,Poisson_1000_1500_400,14,restart,14631,14432.466666666667,14249,14999,0.9754650310020668,0.9622285930173123,901.3842907199996,0.0,0,15,5,0.85,0.9,ox,mixed,3,random,42
