dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_150_225_60,0,init,2092,2077.325,2061,2250,0.9297777777777778,0.9232555555555555,2.2561014330021862,357.74389776599855,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,1,evolution,2123,2100.225,2074,2250,0.9435555555555556,0.9334333333333333,4.3475279369995405,355.6524704529984,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,2,evolution,2123,2105.475,2084,2250,0.9435555555555556,0.9357666666666666,6.467039350001869,353.5329589389985,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,3,evolution,2131,2105.2,2085,2250,0.9471111111111111,0.9356444444444444,8.53724776799936,351.4627507820005,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,4,evolution,2131,2104.825,2086,2250,0.9471111111111111,0.9354777777777777,10.679042247000325,349.32095567299984,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,5,evolution,2131,2107.725,2083,2250,0.9471111111111111,0.9367666666666666,12.781438702000742,347.2185596870004,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,6,evolution,2131,2105.825,2083,2250,0.9471111111111111,0.9359222222222221,14.843818255001679,345.15618021200135,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,7,evolution,2131,2106.925,2089,2250,0.9471111111111111,0.9364111111111112,16.904363393001404,343.09563528500075,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,8,evolution,2131,2107.15,2083,2250,0.9471111111111111,0.9365111111111112,18.999377250998805,341.0006212599983,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,9,evolution,2131,2104.6,2084,2250,0.9471111111111111,0.9353777777777778,21.105757982000796,338.89424015999975,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,10,evolution,2131,2107.4,2083,2250,0.9471111111111111,0.9366222222222222,23.21620773199902,336.7837908139991,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,11,evolution,2131,2105.25,2083,2250,0.9471111111111111,0.9356666666666666,25.288046762001613,334.711951502999,8,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,12,evolution,2131,2105.45,2080,2250,0.9471111111111111,0.9357555555555555,27.363154593000218,332.6368439129983,9,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,13,evolution,2131,2103.975,2080,2250,0.9471111111111111,0.9350999999999999,29.50146680400212,330.49853195800097,10,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,13,restart,2131,2082.725,2054,2250,0.9471111111111111,0.9256555555555556,31.664673257000686,328.3353250430009,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,14,evolution,2131,2102.075,2066,2250,0.9471111111111111,0.9342555555555555,33.85147340399999,326.14852517599866,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,15,evolution,2131,2103.15,2076,2250,0.9471111111111111,0.9347333333333334,35.95512357199914,324.044874539999,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,16,evolution,2131,2107.525,2082,2250,0.9471111111111111,0.9366777777777778,38.052294832999905,321.94770329899984,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,17,evolution,2131,2107.375,2083,2250,0.9471111111111111,0.9366111111111111,40.192129433002265,319.8078690109978,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,18,evolution,2131,2105.275,2074,2250,0.9471111111111111,0.9356777777777778,42.2999609489998,317.70003763099885,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,19,evolution,2131,2107.45,2074,2250,0.9471111111111111,0.9366444444444444,44.38782754099884,315.612171069999,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,20,evolution,2131,2107.575,2084,2250,0.9471111111111111,0.9366999999999999,46.45323977500084,313.546758941,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,21,evolution,2131,2105.125,2084,2250,0.9471111111111111,0.9356111111111111,48.512627284999326,311.4873710280008,8,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,22,evolution,2131,2105.375,2085,2250,0.9471111111111111,0.9357222222222222,50.62173910999991,309.37825971799975,9,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,23,evolution,2131,2108.275,2075,2250,0.9471111111111111,0.9370111111111111,52.76360662699881,307.23639204600113,10,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,23,restart,2131,2085.775,2060,2250,0.9471111111111111,0.9270111111111111,54.90125059099955,305.098747991,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,24,evolution,2131,2102.175,2085,2250,0.9471111111111111,0.9343000000000001,56.99094819500169,303.00905018100093,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,25,evolution,2131,2104.65,2071,2250,0.9471111111111111,0.9354,59.12870462800129,300.87129401700076,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,26,evolution,2131,2108.5,2087,2250,0.9471111111111111,0.9371111111111111,61.26802253600181,298.7319760210012,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,27,evolution,2131,2105.475,2078,2250,0.9471111111111111,0.9357666666666666,63.357681933001004,296.64231635599936,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,28,evolution,2131,2106.225,2085,2250,0.9471111111111111,0.9360999999999999,65.4511312930008,294.54886756400083,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,29,evolution,2131,2104.65,2080,2250,0.9471111111111111,0.9354,67.52272883700061,292.47726974599937,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,30,evolution,2131,2105.55,2077,2250,0.9471111111111111,0.9358000000000001,69.62071594499866,290.3792823679978,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,31,evolution,2131,2106.675,2075,2250,0.9471111111111111,0.9363000000000001,71.69611053400149,288.3038878799998,8,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,32,evolution,2131,2104.55,2081,2250,0.9471111111111111,0.9353555555555556,73.75390089899884,286.24609772799886,9,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,33,evolution,2131,2107.75,2084,2250,0.9471111111111111,0.9367777777777778,75.83291948999977,284.1670786629984,10,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,33,restart,2131,2081.4,2051,2250,0.9471111111111111,0.9250666666666667,77.99212964600156,282.0078688040012,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,34,evolution,2131,2096.0,2059,2250,0.9471111111111111,0.9315555555555556,80.16730638000081,279.8326920420004,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,35,evolution,2131,2102.65,2073,2250,0.9471111111111111,0.9345111111111112,82.30766378300177,277.69233498299945,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,36,evolution,2131,2106.225,2080,2250,0.9471111111111111,0.9360999999999999,84.40172062499914,275.59827796600075,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,37,evolution,2131,2107.45,2086,2250,0.9471111111111111,0.9366444444444444,86.46900537900001,273.5309931369993,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,38,evolution,2131,2107.4,2082,2250,0.9471111111111111,0.9366222222222222,88.54513086600127,271.45486776799953,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,39,evolution,2131,2107.65,2092,2250,0.9471111111111111,0.9367333333333334,90.68989249100196,269.310105812001,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,40,evolution,2131,2108.875,2090,2250,0.9471111111111111,0.9372777777777778,92.76716933500211,267.23282923100123,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,41,evolution,2131,2106.775,2084,2250,0.9471111111111111,0.9363444444444445,94.85025256500012,265.14974585899836,8,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,42,evolution,2131,2106.825,2084,2250,0.9471111111111111,0.9363666666666666,96.95291271500173,263.0470859140005,9,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,43,evolution,2131,2107.125,2089,2250,0.9471111111111111,0.9365,99.04697495399887,260.95302350600105,10,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,43,restart,2131,2082.525,2058,2250,0.9471111111111111,0.9255666666666668,101.23016323100092,258.7698353550004,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,44,evolution,2131,2099.275,2062,2250,0.9471111111111111,0.9330111111111111,103.38113557600082,256.61886287499874,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,45,evolution,2131,2107.375,2081,2250,0.9471111111111111,0.9366111111111111,105.48588673799895,254.51411141399876,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,46,evolution,2131,2103.225,2078,2250,0.9471111111111111,0.9347666666666666,107.58911858899955,252.41087982799945,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,47,evolution,2131,2109.625,2085,2250,0.9471111111111111,0.9376111111111111,109.74199020200103,250.25800823499958,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,48,evolution,2131,2109.325,2086,2250,0.9471111111111111,0.9374777777777777,111.82372603000113,248.17627258300126,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,49,evolution,2131,2106.825,2087,2250,0.9471111111111111,0.9363666666666666,113.88984696600164,246.11015017200043,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,50,evolution,2131,2104.15,2076,2250,0.9471111111111111,0.9351777777777778,115.96986179099986,244.03013670200016,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,51,evolution,2131,2106.2,2085,2250,0.9471111111111111,0.9360888888888889,118.03304336200017,241.96695491900027,8,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,52,evolution,2131,2107.3,2081,2250,0.9471111111111111,0.9365777777777778,120.14924188399891,239.85075648099883,9,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,53,evolution,2131,2107.45,2087,2250,0.9471111111111111,0.9366444444444444,122.2723225209993,237.72767590700096,10,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,53,restart,2131,2084.8,2058,2250,0.9471111111111111,0.9265777777777778,124.3883679970022,235.6116302549999,0,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,54,evolution,2131,2104.8,2079,2250,0.9471111111111111,0.9354666666666668,126.52012078299958,233.4798780159981,1,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,55,evolution,2131,2105.825,2087,2250,0.9471111111111111,0.9359222222222221,128.59085289699942,231.4091456540009,2,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,56,evolution,2131,2105.75,2080,2250,0.9471111111111111,0.9358888888888889,130.70679597400158,229.29320248599834,3,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,57,evolution,2131,2105.025,2080,2250,0.9471111111111111,0.9355666666666667,132.79249326900026,227.20750515799955,4,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,58,evolution,2131,2108.3,2084,2250,0.9471111111111111,0.9370222222222223,134.8814367740015,225.11856173699925,5,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,59,evolution,2131,2110.175,2086,2250,0.9471111111111111,0.9378555555555557,136.97018361200026,223.02981510500103,6,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,60,evolution,2131,2107.65,2079,2250,0.9471111111111111,0.9367333333333334,139.0282213870014,220.97177739000108,7,40,5,0.85,0.9,ox,mixed,3,random,42
Uniform,Uniform_150_225_60,61,evolution,2131,2109.05,2088,2250,0.9471111111111111,0.9373555555555556,141.1211330039987,218.87886584100124,8,40,5,0.85,0.9,ox,mixed,3,random,42
