dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,155,200,0.775,157,155,-2,20.004563848000004,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,491,750,0.6546666666666666,493,491,-2,89.97270276499998,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1065,1200,0.8875,1064,1065,1,180.01671606400004,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1386,1500,0.924,1390,1386,-4,180.008730065,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2006,2250,0.8915555555555555,2022,2006,-16,360.07149450099996,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2671,3000,0.8903333333333333,2681,2671,-10,360.02681965500005,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3914,4500,0.8697777777777778,3924,3914,-10,360.15266410000004,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6590,7499,0.878783837845046,6630,6590,-40,600.3192672719999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10516,12000,0.8763333333333333,10608,10516,-92,900.713849878,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13133,15000,0.8755333333333334,13211,13133,-78,900.4536321549999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Exponential,Exponential_20_30_10,187,200,0.935,188,187,-1,19.985333612999966,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Exponential,Exponential_50_75_20,369,750,0.492,376,369,-7,90.00948026599963,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Exponential,Exponential_80_120_32,743,1200,0.6191666666666666,760,743,-17,180.0178191340001,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Exponential,Exponential_100_150_40,1126,1500,0.7506666666666667,1112,1126,14,180.01773785899968,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Exponential,Exponential_150_225_60,1924,2250,0.8551111111111112,1936,1924,-12,360.04105386100036,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Exponential,Exponential_200_300_80,2454,3000,0.818,2478,2454,-24,360.0383335209999,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Exponential,Exponential_300_450_120,4006,4500,0.8902222222222222,4030,4006,-24,360.09950459300035,VALID,40,5,0.85,0.9,ox,mixed,3,,42,360
Exponential,Exponential_500_750_200,6956,7500,0.9274666666666667,6993,6956,-37,600.1648992769997,VALID,40,5,0.85,0.9,ox,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11395,12000,0.9495833333333333,11450,11395,-55,900.3548949830001,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14363,15000,0.9575333333333333,14414,14363,-51,900.4212565829994,VALID,40,5,0.85,0.9,ox,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,164,200,0.82,159,164,5,19.96967372400013,VALID,40,5,0.85,0.9,ox,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,89.96208422699965,VALID,40,5,0.85,0.9,ox,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1157,1200,0.9641666666666666,1151,1157,6,180.0167248029993,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1442,1500,0.9613333333333334,1432,1442,10,180.00884553499964,VALID,40,5,0.85,0.9,ox,mixed,3,,42,180
