dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_20_30_10,0,init,157,143.975,137,200,0.785,0.7198749999999999,0.15870491800001219,19.84129282799998,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,1,evolution,157,144.825,137,200,0.785,0.7241249999999999,0.30019874000001323,19.699799845,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,2,evolution,157,146.35,136,200,0.785,0.73175,0.4400285750000137,19.559970400999987,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,3,evolution,157,146.375,137,200,0.785,0.731875,0.5798678190000146,19.420131104999996,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,4,evolution,157,144.775,138,200,0.785,0.723875,0.7203881590000094,19.279610924999986,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,5,evolution,157,147.3,141,200,0.785,0.7365,0.858388031000004,19.141610783000004,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,6,evolution,157,146.675,142,200,0.785,0.7333750000000001,0.9951793400000213,19.004819920999978,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,7,evolution,157,146.25,137,200,0.785,0.73125,1.1395772099999988,18.860421588999998,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,8,evolution,157,146.825,142,200,0.785,0.7341249999999999,1.2794288030000018,18.720570122999987,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,9,evolution,157,147.125,140,200,0.785,0.735625,1.4164412400000117,18.583557659999997,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,10,evolution,157,146.425,139,200,0.785,0.732125,1.5526000520000025,18.447399062999978,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,10,restart,157,144.75,137,200,0.785,0.72375,1.688036913000019,18.311962255999987,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,11,evolution,157,146.725,142,200,0.785,0.733625,1.8250861670000234,18.174912753,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,12,evolution,157,146.65,140,200,0.785,0.7332500000000001,1.9628072550000013,18.037191524999997,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,13,evolution,157,145.925,140,200,0.785,0.7296250000000001,2.101200277000004,17.898798868,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,14,evolution,157,146.425,141,200,0.785,0.732125,2.2401844080000046,17.759814519000003,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,15,evolution,157,145.725,135,200,0.785,0.728625,2.3781897869999966,17.621809093999985,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,16,evolution,157,146.8,140,200,0.785,0.7340000000000001,2.5157715170000188,17.484227481999994,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,17,evolution,157,146.825,136,200,0.785,0.7341249999999999,2.653608167000016,17.346390772999996,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,18,evolution,157,146.65,141,200,0.785,0.7332500000000001,2.791253284000021,17.208745590999996,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,19,evolution,157,146.3,139,200,0.785,0.7315,2.928697956999997,17.071300877,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,20,evolution,157,146.725,141,200,0.785,0.733625,3.065825627999999,16.93417310199999,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,20,restart,157,144.65,138,200,0.785,0.7232500000000001,3.202720369000019,16.797278845999983,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,21,evolution,157,145.725,138,200,0.785,0.728625,3.342450432000021,16.657548625000004,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,22,evolution,157,146.3,137,200,0.785,0.7315,3.4831768690000047,16.516821806999985,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,23,evolution,157,147.0,138,200,0.785,0.735,3.6200490070000058,16.379949877,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,24,evolution,157,146.425,140,200,0.785,0.732125,3.757534024000023,16.242465044,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,25,evolution,157,146.05,140,200,0.785,0.7302500000000001,3.893746440000001,16.106252514000005,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,26,evolution,157,146.025,140,200,0.785,0.730125,4.036899074000019,15.963099857000003,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,27,evolution,157,146.8,141,200,0.785,0.7340000000000001,4.175403994000021,15.824594848000004,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,28,evolution,157,147.175,141,200,0.785,0.7358750000000001,4.312585857000016,15.687412996999996,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,29,evolution,157,146.225,141,200,0.785,0.731125,4.450820665000009,15.549178291999993,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,30,evolution,157,145.75,140,200,0.785,0.72875,4.590227204000001,15.409771546000002,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,30,restart,157,144.0,133,200,0.785,0.72,4.727744823000023,15.272254281999977,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,31,evolution,157,145.625,137,200,0.785,0.728125,4.866005995000023,15.133992759999984,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,32,evolution,157,146.75,140,200,0.785,0.73375,5.004722269000013,14.995276760999985,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,33,evolution,157,146.35,139,200,0.785,0.73175,5.143749568000004,14.856249408999986,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,34,evolution,157,147.0,142,200,0.785,0.735,5.284087471000021,14.715911707999993,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,35,evolution,157,146.675,140,200,0.785,0.7333750000000001,5.420998152999999,14.579000775999987,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,36,evolution,157,146.725,139,200,0.785,0.733625,5.557731458000006,14.442267560999994,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,37,evolution,157,145.9,140,200,0.785,0.7295,5.696614371999999,14.30338429599999,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,38,evolution,157,147.025,141,200,0.785,0.735125,5.8353404610000155,14.164657866999988,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Adversarial,Adversarial_20_30_10,39,evolution,157,147.125,140,200,0.785,0.735625,5.972906823000017,14.027092245999995,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
