dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_150_225_60,0,init,1936,1850.7,1819,2250,0.8604444444444445,0.8225333333333333,1.8731316999992487,358.1268675220008,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,1,evolution,1936,1862.975,1834,2250,0.8604444444444445,0.8279888888888889,3.5418911569995544,356.45810758800053,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,2,evolution,1936,1869.2,1835,2250,0.8604444444444445,0.8307555555555556,5.219388875999357,354.7806096110007,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,3,evolution,1936,1865.05,1834,2250,0.8604444444444445,0.828911111111111,6.930253711999285,353.06974451800033,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,4,evolution,1936,1869.45,1833,2250,0.8604444444444445,0.8308666666666666,8.62190847399961,351.37809013100014,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,5,evolution,1936,1869.225,1830,2250,0.8604444444444445,0.8307666666666667,10.330898946999696,349.66909954100083,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,6,evolution,1936,1870.75,1825,2250,0.8604444444444445,0.8314444444444444,12.009540674999698,347.990457891,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,7,evolution,1936,1863.425,1828,2250,0.8604444444444445,0.8281888888888889,13.70384525099962,346.2961531180008,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,8,evolution,1936,1869.45,1834,2250,0.8604444444444445,0.8308666666666666,15.394627586999377,344.60537088600086,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,9,evolution,1936,1863.0,1837,2250,0.8604444444444445,0.828,17.124987492999935,342.8750110710007,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,10,evolution,1936,1865.075,1826,2250,0.8604444444444445,0.8289222222222222,18.806407144999866,341.1935910220009,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,10,restart,1936,1854.675,1801,2250,0.8604444444444445,0.8243,20.441883118999613,339.5581156260005,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,11,evolution,1936,1869.6,1826,2250,0.8604444444444445,0.8309333333333333,22.125187190999895,337.8748106620005,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,12,evolution,1936,1864.9,1834,2250,0.8604444444444445,0.8288444444444445,23.79431248399942,336.20568590100083,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,13,evolution,1936,1870.175,1835,2250,0.8604444444444445,0.8311888888888889,25.4728605779992,334.5271378340003,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,14,evolution,1936,1866.875,1835,2250,0.8604444444444445,0.8297222222222222,27.180523348999486,332.8194750400007,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,15,evolution,1936,1865.925,1836,2250,0.8604444444444445,0.8292999999999999,28.858250157999464,331.14174773000013,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,16,evolution,1936,1868.075,1831,2250,0.8604444444444445,0.8302555555555555,30.530373435,329.4696249710005,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,17,evolution,1936,1873.0,1835,2250,0.8604444444444445,0.8324444444444444,32.2130384029997,327.7869601700004,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,18,evolution,1936,1872.35,1833,2250,0.8604444444444445,0.8321555555555555,33.90164851499958,326.09834979900006,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,19,evolution,1936,1873.175,1835,2250,0.8604444444444445,0.8325222222222222,35.60077498499959,324.39922318000026,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,20,evolution,1936,1872.575,1841,2250,0.8604444444444445,0.8322555555555555,37.32614203999947,322.6738567860002,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,20,restart,1936,1852.25,1815,2250,0.8604444444444445,0.8232222222222222,38.95158160599931,321.0484171340004,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,21,evolution,1936,1872.475,1840,2250,0.8604444444444445,0.8322111111111111,40.64176412500001,319.35823457600054,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,22,evolution,1936,1868.775,1832,2250,0.8604444444444445,0.8305666666666667,42.329362683,317.6706357760004,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,23,evolution,1936,1871.9,1844,2250,0.8604444444444445,0.8319555555555556,44.00230036599987,315.9976982120006,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,24,evolution,1936,1866.925,1838,2250,0.8604444444444445,0.8297444444444444,45.69961150999916,314.3003866990002,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,25,evolution,1936,1867.5,1828,2250,0.8604444444444445,0.83,47.43041525599983,312.5695828750004,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,26,evolution,1936,1875.175,1835,2250,0.8604444444444445,0.8334111111111111,49.1306941999992,310.8693040920007,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,27,evolution,1936,1872.725,1843,2250,0.8604444444444445,0.8323222222222222,50.81381981699997,309.1861785560004,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,28,evolution,1936,1871.55,1843,2250,0.8604444444444445,0.8318,52.494871508999495,307.5051269410005,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,29,evolution,1936,1873.1,1840,2250,0.8604444444444445,0.8324888888888888,54.19608992099984,305.8039084580005,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,30,evolution,1936,1875.025,1844,2250,0.8604444444444445,0.8333444444444444,55.88633653099987,304.11366214400005,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,30,restart,1936,1852.875,1806,2250,0.8604444444444445,0.8235,57.568019675999494,302.4319785540001,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,31,evolution,1936,1867.425,1827,2250,0.8604444444444445,0.8299666666666666,59.26588352499948,300.7341147670004,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,32,evolution,1936,1864.775,1832,2250,0.8604444444444445,0.8287888888888889,60.954503903999466,299.0454946790005,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,33,evolution,1936,1868.725,1823,2250,0.8604444444444445,0.8305444444444444,62.64545121699939,297.3545472000005,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,34,evolution,1936,1871.525,1840,2250,0.8604444444444445,0.8317888888888889,64.34930551099933,295.65069269800006,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,35,evolution,1936,1868.75,1830,2250,0.8604444444444445,0.8305555555555556,66.03744700399966,293.9625516120004,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,36,evolution,1936,1865.8,1833,2250,0.8604444444444445,0.8292444444444445,67.75825865099978,292.2417400730001,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,37,evolution,1936,1875.3,1841,2250,0.8604444444444445,0.8334666666666667,69.44398843699946,290.5560101360006,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,38,evolution,1936,1872.95,1828,2250,0.8604444444444445,0.8324222222222223,71.13419643599991,288.86580190100085,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,39,evolution,1936,1867.7,1822,2250,0.8604444444444445,0.8300888888888889,72.80961062199913,287.19038752100005,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,40,evolution,1936,1869.6,1840,2250,0.8604444444444445,0.8309333333333333,74.4961793729999,285.503819175,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,40,restart,1936,1853.3,1798,2250,0.8604444444444445,0.8236888888888889,76.12521996199939,283.874778591,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,41,evolution,1936,1872.475,1843,2250,0.8604444444444445,0.8322111111111111,77.86233094099953,282.1376676640002,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,42,evolution,1936,1868.125,1842,2250,0.8604444444444445,0.8302777777777778,79.56167300199922,280.43832548700084,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,43,evolution,1936,1868.375,1836,2250,0.8604444444444445,0.8303888888888888,81.23312955599977,278.76686903300015,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,44,evolution,1936,1873.275,1834,2250,0.8604444444444445,0.8325666666666667,82.9298007669995,277.07019774000037,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,45,evolution,1936,1876.175,1834,2250,0.8604444444444445,0.8338555555555556,84.63550544599912,275.3644931130002,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,46,evolution,1936,1870.275,1830,2250,0.8604444444444445,0.8312333333333334,86.31730430799962,273.68269425500057,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,47,evolution,1936,1870.525,1841,2250,0.8604444444444445,0.8313444444444444,88.04186996199951,271.958128452,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,48,evolution,1936,1872.875,1835,2250,0.8604444444444445,0.8323888888888888,89.74227896799948,270.2577197290002,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,49,evolution,1936,1870.125,1844,2250,0.8604444444444445,0.8311666666666667,91.43809624999994,268.56190217400035,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,50,evolution,1936,1866.375,1833,2250,0.8604444444444445,0.8295,93.13455117599915,266.86544728900026,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,50,restart,1936,1854.15,1814,2250,0.8604444444444445,0.8240666666666667,94.76728929299952,265.2327092560008,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,51,evolution,1936,1869.5,1834,2250,0.8604444444444445,0.8308888888888889,96.47871895099979,263.52127924900014,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,52,evolution,1936,1876.45,1837,2250,0.8604444444444445,0.8339777777777778,98.18927965199964,261.8107188290005,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,53,evolution,1936,1872.475,1835,2250,0.8604444444444445,0.8322111111111111,99.88736935899942,260.1126291010005,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Exponential,Exponential_150_225_60,54,evolution,1936,1867.15,1820,2250,0.8604444444444445,0.8298444444444445,101.57478200099922,258.4252163990004,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
