dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Gaussian,Gaussian_20_30_10,0,init,159,142.75,135,200,0.795,0.71375,0.14442967099967063,19.85556971799997,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,1,evolution,159,143.675,135,200,0.795,0.7183750000000001,0.2665201210002124,19.73347857399949,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,2,evolution,159,144.9,134,200,0.795,0.7245,0.3944670840000981,19.60553163500026,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,3,evolution,159,146.15,135,200,0.795,0.73075,0.5160066290000032,19.48399218800023,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,4,evolution,159,145.95,137,200,0.795,0.7297499999999999,0.6386541410001882,19.361343980999663,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,5,evolution,159,145.95,137,200,0.795,0.7297499999999999,0.7657153070003915,19.234283740999672,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,6,evolution,159,144.925,135,200,0.795,0.7246250000000001,0.8930401010002242,19.106958536000093,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,7,evolution,159,145.625,135,200,0.795,0.728125,1.0138369719998082,18.986161648000234,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,8,evolution,159,146.075,131,200,0.795,0.730375,1.1374601349998557,18.862538360000144,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,9,evolution,159,145.8,136,200,0.795,0.7290000000000001,1.258955412999967,18.741043500999695,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,10,evolution,159,144.95,134,200,0.795,0.7247499999999999,1.380379131999689,18.619619498999782,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,10,restart,159,142.125,130,200,0.795,0.710625,1.504138504000366,18.495860293999613,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,11,evolution,159,146.45,138,200,0.795,0.73225,1.6275192610000886,18.372479265000038,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,12,evolution,159,146.0,133,200,0.795,0.73,1.7479598019999685,18.2520392790002,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,13,evolution,159,146.125,137,200,0.795,0.730625,1.8713543169997138,18.12864439399982,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,14,evolution,159,145.525,136,200,0.795,0.7276250000000001,1.9930899250002767,18.006908673999533,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,15,evolution,159,145.325,134,200,0.795,0.726625,2.125581033000344,17.874417707000248,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,16,evolution,159,144.975,132,200,0.795,0.7248749999999999,2.2476084039999478,17.75239008599965,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,17,evolution,159,146.875,133,200,0.795,0.734375,2.369100234999678,17.630898594999962,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,18,evolution,159,146.3,137,200,0.795,0.7315,2.491666177999832,17.50833294899985,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,19,evolution,159,144.575,133,200,0.795,0.7228749999999999,2.6129250089998095,17.38707391600019,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,20,evolution,159,145.825,135,200,0.795,0.7291249999999999,2.734465487000307,17.26553362300001,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,20,restart,159,143.175,132,200,0.795,0.715875,2.857121111000197,17.142878148999444,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,21,evolution,159,145.4,134,200,0.795,0.727,2.9796738619997996,17.02032477099965,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,22,evolution,159,145.6,135,200,0.795,0.728,3.100007992999963,16.899990531000185,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,23,evolution,159,146.0,132,200,0.795,0.73,3.219409268999698,16.780589973999668,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Gaussian,Gaussian_20_30_10,24,evolution,159,145.75,135,200,0.795,0.72875,3.340034693999769,16.659963496999808,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
