dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Poisson,Poisson_200_300_80,0,init,2932,2881.875,2844,3000,0.9773333333333334,0.960625,3.0630437320014607,356.93695550899974,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,1,evolution,2932,2892.25,2842,3000,0.9773333333333334,0.9640833333333333,5.760880683999858,354.23911776800014,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,2,evolution,2932,2896.15,2870,3000,0.9773333333333334,0.9653833333333334,8.410016054000153,351.58998247699856,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,3,evolution,2932,2903.1,2857,3000,0.9773333333333334,0.9677,11.06723115800014,348.93276729199897,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,4,evolution,2932,2898.75,2848,3000,0.9773333333333334,0.96625,13.69434161800018,346.3056567759995,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,5,evolution,2932,2901.25,2875,3000,0.9773333333333334,0.9670833333333333,16.31390232600097,343.6860960799986,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,6,evolution,2950,2900.125,2865,3000,0.9833333333333333,0.9667083333333333,18.94977473200015,341.05022384899894,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,7,evolution,2950,2908.325,2870,3000,0.9833333333333333,0.9694416666666666,21.601932483999917,338.3980661379992,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,8,evolution,2950,2908.6,2851,3000,0.9833333333333333,0.9695333333333334,24.31835057799981,335.6816478339988,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,9,evolution,2950,2911.175,2882,3000,0.9833333333333333,0.9703916666666668,26.961920489000477,333.0380780529995,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,10,evolution,2950,2911.225,2862,3000,0.9833333333333333,0.9704083333333333,29.587510319001012,330.4124882719989,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Poisson,Poisson_200_300_80,11,evolution,2950,2912.45,2889,3000,0.9833333333333333,0.9708166666666667,32.19484228300098,327.8051565629994,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
