dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_200_300_80,0,init,2877,2827.875,2792,3000,0.959,0.942625,4.716710387001513,355.2832888539997,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,1,evolution,2881,2843.875,2810,3000,0.9603333333333334,0.9479583333333333,8.827185042002384,351.1728131989985,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,2,evolution,2881,2848.825,2804,3000,0.9603333333333334,0.9496083333333333,12.900810813000135,347.0991877560009,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,3,evolution,2890,2850.075,2809,3000,0.9633333333333334,0.9500249999999999,16.821690777000185,343.1783077439977,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,4,evolution,2890,2849.775,2814,3000,0.9633333333333334,0.949925,20.794345797999995,339.20565273399916,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,5,evolution,2890,2856.1,2822,3000,0.9633333333333334,0.9520333333333333,24.77113645099962,335.22886176999964,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,6,evolution,2892,2863.1,2826,3000,0.964,0.9543666666666666,28.73674209100136,331.2632559759986,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,7,evolution,2892,2860.425,2830,3000,0.964,0.9534750000000001,32.667693530002,327.3323048839993,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,8,evolution,2892,2858.975,2822,3000,0.964,0.9529916666666667,36.55399523899905,323.4460031339986,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,9,evolution,2897,2858.0,2821,3000,0.9656666666666667,0.9526666666666667,40.36242366100123,319.63757517499835,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,10,evolution,2897,2861.025,2824,3000,0.9656666666666667,0.953675,44.287761026000226,315.7122371869991,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,11,evolution,2897,2859.6,2826,3000,0.9656666666666667,0.9531999999999999,48.12741002199982,311.8725885620006,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,12,evolution,2897,2859.9,2822,3000,0.9656666666666667,0.9533,51.97367442700124,308.02632415300104,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,13,evolution,2897,2863.875,2829,3000,0.9656666666666667,0.954625,55.834811167002044,304.16518720399836,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,14,evolution,2898,2868.8,2840,3000,0.966,0.9562666666666667,59.74459494999974,300.25540363500113,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,15,evolution,2898,2861.15,2828,3000,0.966,0.9537166666666667,63.59941779300061,296.40058034499816,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,16,evolution,2898,2861.2,2823,3000,0.966,0.9537333333333333,67.4509495500024,292.54904867000005,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,17,evolution,2898,2860.275,2834,3000,0.966,0.9534250000000001,71.27285307000056,288.727145416,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,18,evolution,2898,2864.75,2832,3000,0.966,0.9549166666666666,75.12750202300231,284.87249638799767,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,19,evolution,2898,2860.575,2834,3000,0.966,0.953525,78.9391419349995,281.0608566810006,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,20,evolution,2901,2864.15,2828,3000,0.967,0.9547166666666667,82.82109652100189,277.17890195899963,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,21,evolution,2901,2866.225,2841,3000,0.967,0.9554083333333333,86.66917965500033,273.33081857199795,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,22,evolution,2901,2862.25,2830,3000,0.967,0.9540833333333333,90.47127639700193,269.5287217469995,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,23,evolution,2901,2864.275,2818,3000,0.967,0.9547583333333334,94.33369654299895,265.66630171499855,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,24,evolution,2901,2866.45,2832,3000,0.967,0.9554833333333332,98.14343190400177,261.85656617199857,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,25,evolution,2901,2862.625,2830,3000,0.967,0.9542083333333333,101.9509501140019,258.04904784500104,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,26,evolution,2901,2863.75,2836,3000,0.967,0.9545833333333333,105.77377436900133,254.22622405500078,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,27,evolution,2901,2863.35,2833,3000,0.967,0.95445,109.60274906999985,250.3972493939982,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,28,evolution,2904,2864.375,2831,3000,0.968,0.9547916666666667,113.42517257800137,246.57482591200096,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,29,evolution,2904,2866.025,2835,3000,0.968,0.9553416666666666,117.26118766199943,242.73881083299784,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
Uniform,Uniform_200_300_80,30,evolution,2904,2857.425,2832,3000,0.968,0.9524750000000001,121.03992448799909,238.9600736930006,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
