dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack06,0,init,69,68.925,68,78,0.8846153846153846,0.8836538461538461,0.05167672999959905,19.948322615997313,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,1,evolution,69,68.875,67,78,0.8846153846153846,0.8830128205128205,0.09234795200245571,19.90765078199911,1,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,2,evolution,69,68.95,68,78,0.8846153846153846,0.883974358974359,0.1328912790013419,19.86710781199872,2,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,3,evolution,69,68.85,67,78,0.8846153846153846,0.8826923076923077,0.17996691600274062,19.820031814997492,3,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,4,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.22017307200076175,19.779825751000317,4,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,5,evolution,69,68.95,68,78,0.8846153846153846,0.883974358974359,0.26193672100271215,19.73806212499767,5,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,6,evolution,69,68.95,67,78,0.8846153846153846,0.883974358974359,0.30325844100298127,19.696740684998076,6,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,7,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.34427029600192327,19.65572844899725,7,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,8,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.38568387600025744,19.614315019996866,8,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,9,evolution,69,68.8,67,78,0.8846153846153846,0.882051282051282,0.42686552600207506,19.573133303998475,9,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,10,evolution,69,68.975,68,78,0.8846153846153846,0.8842948717948718,0.4670137570028601,19.532985221998388,10,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
hustack,hustack06,10,restart,69,68.875,67,78,0.8846153846153846,0.8830128205128205,0.5067909290009993,19.493208277999656,0,40,5,0.85,0.75,pmx,mixed,3,heuristic,42
