dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,157,200,0.785,157,157,0,20.001482753999994,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,493,750,0.6573333333333333,493,493,0,90.024143261,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.00879799999996,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1390,1500,0.9266666666666666,1390,1390,0,180.03990762499996,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2022,2250,0.8986666666666666,2022,2022,0,360.02806143500004,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2681,3000,0.8936666666666667,2681,2681,0,360.06307994300005,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3924,4500,0.872,3924,3924,0,360.0675812520001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6630,7499,0.8841178823843179,6630,6630,0,600.179233333,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10608,12000,0.884,10608,10608,0,900.639654304,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13211,15000,0.8807333333333334,13211,13211,0,900.2890622010004,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Exponential,Exponential_20_30_10,188,200,0.94,188,188,0,20.001859031000095,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Exponential,Exponential_50_75_20,376,750,0.5013333333333333,376,376,0,90.00875064199954,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Exponential,Exponential_80_120_32,760,1200,0.6333333333333333,760,760,0,180.0148079849996,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Exponential,Exponential_100_150_40,1123,1500,0.7486666666666667,1112,1123,11,180.01812449499994,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Exponential,Exponential_150_225_60,1936,2250,0.8604444444444445,1936,1936,0,360.02987297100026,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_200_300_80,2478,3000,0.826,2478,2478,0,360.0329104520006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_300_450_120,4030,4500,0.8955555555555555,4030,4030,0,360.04574162300014,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_500_750_200,6993,7500,0.9324,6993,6993,0,600.2523392269995,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11450,12000,0.9541666666666667,11450,11450,0,900.2005871660003,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14414,15000,0.9609333333333333,14414,14414,0,900.644389092,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,161,200,0.805,159,161,2,20.002683213999262,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,90.00544656200054,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1156,1200,0.9633333333333334,1151,1156,5,180.03014296000038,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1449,1500,0.966,1432,1449,17,180.02096658399932,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Gaussian,Gaussian_150_225_60,2192,2250,0.9742222222222222,2171,2192,21,360.04850689900013,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_200_300_80,2935,3000,0.9783333333333334,2904,2935,31,360.0270239010006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_300_450_120,4385,4500,0.9744444444444444,4363,4385,22,360.0717039479987,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_500_750_200,7405,7499,0.987464995332711,7400,7405,5,600.180926821,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Gaussian,Gaussian_800_1200_320,11808,12000,0.984,11787,11808,21,900.1852942309997,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Gaussian,Gaussian_1000_1500_400,14798,15000,0.9865333333333334,14770,14798,28,901.1696956380001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Poisson,Poisson_20_30_10,145,200,0.725,140,145,5,19.95131942199987,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Poisson,Poisson_50_75_20,620,750,0.8266666666666667,620,620,0,90.0105011100004,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Poisson,Poisson_80_120_32,1118,1200,0.9316666666666666,1114,1118,4,180.02567570700012,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Poisson,Poisson_100_150_40,1417,1500,0.9446666666666667,1417,1417,0,180.03558076899935,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Poisson,Poisson_150_225_60,2213,2250,0.9835555555555555,2213,2213,0,360.0308813149986,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_200_300_80,2958,3000,0.986,2932,2958,26,360.08765928200046,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_300_450_120,4473,4500,0.994,4449,4473,24,360.1545008150006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_500_750_200,7329,7500,0.9772,7312,7329,17,600.41900747,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
