dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Adversarial,Adversarial_80_120_32,0,init,1025,1011.3,999,1200,0.8541666666666666,0.84275,0.8817593879999777,179.11823997200003,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,1,evolution,1053,1027.175,1016,1200,0.8775,0.8559791666666666,1.6398638599999913,178.36013439000004,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,2,evolution,1053,1028.775,1010,1200,0.8775,0.8573125,2.3970615119999934,177.60293720800001,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,3,evolution,1053,1031.375,1008,1200,0.8775,0.8594791666666667,3.156920093999986,176.84307813600003,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,4,evolution,1053,1030.1,1009,1200,0.8775,0.8584166666666666,3.923657832999993,176.076341027,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,5,evolution,1053,1028.875,1008,1200,0.8775,0.8573958333333334,4.6812214749999725,175.318776765,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,6,evolution,1053,1028.1,1011,1200,0.8775,0.8567499999999999,5.442485915999953,174.55751271400004,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,7,evolution,1053,1030.225,1017,1200,0.8775,0.8585208333333333,6.199955797999962,173.80004275100003,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,8,evolution,1053,1030.225,1009,1200,0.8775,0.8585208333333333,6.958095589999971,173.041902639,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,9,evolution,1053,1032.175,1013,1200,0.8775,0.8601458333333333,7.738438285999962,172.26156025400002,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,10,evolution,1053,1031.325,1017,1200,0.8775,0.8594375000000001,8.495019357999979,171.50497899100003,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,11,evolution,1053,1031.15,1010,1200,0.8775,0.8592916666666668,9.251460970999972,170.74853795900003,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,11,restart,1053,1025.425,1008,1200,0.8775,0.8545208333333333,10.032528216999992,169.96747018300005,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,12,evolution,1053,1031.2,1015,1200,0.8775,0.8593333333333334,10.817847481000001,169.182151659,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,13,evolution,1053,1033.125,1010,1200,0.8775,0.8609375,11.584758359999967,168.41524014000004,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,14,evolution,1055,1031.125,1011,1200,0.8791666666666667,0.8592708333333333,12.362604927000007,167.63739382300002,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,15,evolution,1055,1032.775,1013,1200,0.8791666666666667,0.8606458333333334,13.132177105999972,166.867821274,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,16,evolution,1055,1030.025,1013,1200,0.8791666666666667,0.8583541666666668,13.895668815999954,166.10432946400005,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,17,evolution,1055,1030.25,1011,1200,0.8791666666666667,0.8585416666666666,14.67064953299996,165.32934902700003,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,18,evolution,1055,1031.45,1008,1200,0.8791666666666667,0.8595416666666668,15.429717955000001,164.570280625,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,19,evolution,1055,1030.525,1006,1200,0.8791666666666667,0.8587708333333334,16.19407662499998,163.80592233500005,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,20,evolution,1056,1031.775,1012,1200,0.88,0.8598125000000001,16.961727214000007,163.03827181500003,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,21,evolution,1056,1032.975,1013,1200,0.88,0.8608124999999999,17.750407657999972,162.24959120200003,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,22,evolution,1056,1030.2,1011,1200,0.88,0.8585,18.514354627999978,161.485643922,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,23,evolution,1056,1031.8,1012,1200,0.88,0.8598333333333333,19.271130419999963,160.72886824900002,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,24,evolution,1056,1029.95,1014,1200,0.88,0.8582916666666667,20.029514543000005,159.970483988,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Adversarial,Adversarial_80_120_32,25,evolution,1056,1032.075,1012,1200,0.88,0.8600625000000001,20.79225199299998,159.20774638700004,5,40,5,0.85,0.75,pmx,mixed,3,random,42
