dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Exponential,Exponential_200_300_80,0,init,2355,2340.95,2328,3000,0.785,0.7803166666666667,1.7364030029993955,358.26359603699984,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,1,evolution,2411,2369.625,2338,3000,0.8036666666666666,0.789875,3.2963227469999765,356.70367593300034,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,2,evolution,2424,2370.825,2343,3000,0.808,0.790275,4.839076371999909,355.1609223780006,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,3,evolution,2424,2378.575,2352,3000,0.808,0.7928583333333332,6.425869678999334,353.5741291610002,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,4,evolution,2424,2375.675,2336,3000,0.808,0.7918916666666668,7.992148598999847,352.00784992100034,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,5,evolution,2424,2376.8,2334,3000,0.808,0.7922666666666667,9.563242725999771,350.4367554340006,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,6,evolution,2424,2375.425,2338,3000,0.808,0.7918083333333334,11.173289347999344,348.82670913200036,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,7,evolution,2424,2377.65,2348,3000,0.808,0.79255,12.774298315999658,347.2257004640005,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,8,evolution,2424,2374.125,2337,3000,0.808,0.791375,14.337196409000171,345.6628021510005,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,9,evolution,2424,2380.875,2335,3000,0.808,0.793625,15.93323551999947,344.0667633000003,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,10,evolution,2424,2377.825,2339,3000,0.808,0.7926083333333332,17.503979936999713,342.49601863299995,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,11,evolution,2424,2376.1,2342,3000,0.808,0.7920333333333333,19.064652749999368,340.93534579900006,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,12,evolution,2424,2376.2,2340,3000,0.808,0.7920666666666666,20.641775424000116,339.35822314600046,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,12,restart,2424,2371.8,2326,3000,0.808,0.7906000000000001,22.19290776299931,337.80709083700003,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,13,evolution,2440,2391.85,2339,3000,0.8133333333333334,0.7972833333333333,23.79286933200001,336.20712992800054,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,14,evolution,2440,2392.275,2345,3000,0.8133333333333334,0.797425,25.378745749999325,334.62125280000055,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,15,evolution,2440,2385.175,2349,3000,0.8133333333333334,0.7950583333333334,27.00995238899941,332.9900458210004,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,16,evolution,2440,2389.75,2360,3000,0.8133333333333334,0.7965833333333333,28.609201698000106,331.3907970119999,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,17,evolution,2440,2389.875,2353,3000,0.8133333333333334,0.796625,30.226351865999277,329.7736464440004,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,18,evolution,2440,2396.125,2356,3000,0.8133333333333334,0.7987083333333334,31.826802524999948,328.1731956950007,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,19,evolution,2440,2393.825,2363,3000,0.8133333333333334,0.7979416666666667,33.423633605999385,326.5763650940007,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,20,evolution,2440,2398.35,2365,3000,0.8133333333333334,0.79945,35.00423530599983,324.99576281400005,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,21,evolution,2440,2393.225,2354,3000,0.8133333333333334,0.7977416666666667,36.61036849199991,323.38963012800014,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,22,evolution,2440,2398.2,2367,3000,0.8133333333333334,0.7993999999999999,38.20073310599946,321.7992656240003,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,23,evolution,2440,2391.575,2353,3000,0.8133333333333334,0.7971916666666666,39.776169830999606,320.2238286490001,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,23,restart,2440,2375.475,2339,3000,0.8133333333333334,0.791825,41.30616039300003,318.6938384670002,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,24,evolution,2445,2394.425,2346,3000,0.815,0.7981416666666667,42.89484152899968,317.1051569910005,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,25,evolution,2445,2398.15,2363,3000,0.815,0.7993833333333333,44.48014164699998,315.51985677300036,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,26,evolution,2445,2391.65,2363,3000,0.815,0.7972166666666667,46.09449364699958,313.9055046330004,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,27,evolution,2445,2395.575,2369,3000,0.815,0.7985249999999999,47.69883440299964,312.30116389700015,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,28,evolution,2445,2393.5,2366,3000,0.815,0.7978333333333333,49.28080922299978,310.71918961700067,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,29,evolution,2445,2396.525,2361,3000,0.815,0.7988416666666667,50.89410713399957,309.1058915860003,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,30,evolution,2445,2397.05,2365,3000,0.815,0.7990166666666667,52.49897491899992,307.5010233010007,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,31,evolution,2445,2395.175,2364,3000,0.815,0.7983916666666667,54.11935395599994,305.8806446440003,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,32,evolution,2445,2394.75,2355,3000,0.815,0.79825,55.74109181099993,304.25890668900047,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,33,evolution,2445,2396.175,2362,3000,0.815,0.798725,57.353133481999976,302.64686514799996,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,34,evolution,2445,2396.575,2353,3000,0.815,0.7988583333333332,58.979437923999285,301.02056092600014,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,34,restart,2445,2380.175,2335,3000,0.815,0.7933916666666667,60.54448075499931,299.45551755500037,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,35,evolution,2445,2395.175,2361,3000,0.815,0.7983916666666667,62.16489616099989,297.83510228900013,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,36,evolution,2455,2396.575,2364,3000,0.8183333333333334,0.7988583333333332,63.77976701099942,296.2202314590004,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,37,evolution,2455,2397.825,2363,3000,0.8183333333333334,0.799275,65.40469986399967,294.59529879599995,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,38,evolution,2455,2398.75,2368,3000,0.8183333333333334,0.7995833333333333,67.03930014099933,292.96069841900044,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,39,evolution,2455,2394.25,2361,3000,0.8183333333333334,0.7980833333333334,68.66461642400009,291.3353820960001,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,40,evolution,2455,2394.375,2365,3000,0.8183333333333334,0.798125,70.27013730899944,289.7298611410006,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,41,evolution,2455,2397.5,2364,3000,0.8183333333333334,0.7991666666666667,71.88219356099944,288.1178052290006,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,42,evolution,2455,2395.05,2361,3000,0.8183333333333334,0.7983500000000001,73.49074798399943,286.50925077600004,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,43,evolution,2455,2396.875,2356,3000,0.8183333333333334,0.7989583333333333,75.09109633299977,284.90890241800025,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,44,evolution,2455,2394.825,2363,3000,0.8183333333333334,0.798275,76.69756370699997,283.3024352930006,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,45,evolution,2455,2391.85,2365,3000,0.8183333333333334,0.7972833333333333,78.28258366599948,281.71741476399984,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,46,evolution,2455,2396.5,2363,3000,0.8183333333333334,0.7988333333333333,79.87447048000013,280.12552805999985,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,46,restart,2455,2375.425,2337,3000,0.8183333333333334,0.7918083333333334,81.40795777999938,278.59204056,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,47,evolution,2455,2399.925,2356,3000,0.8183333333333334,0.7999750000000001,82.98702777200015,277.01297114800036,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,48,evolution,2455,2395.325,2352,3000,0.8183333333333334,0.7984416666666666,84.57069810099983,275.4293007490005,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,49,evolution,2455,2394.375,2355,3000,0.8183333333333334,0.798125,86.17272766499991,273.82727095500013,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,50,evolution,2455,2398.65,2369,3000,0.8183333333333334,0.79955,87.76789750699936,272.23210096300045,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,51,evolution,2455,2398.775,2368,3000,0.8183333333333334,0.7995916666666667,89.34693452899955,270.65306395100015,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,52,evolution,2455,2398.45,2367,3000,0.8183333333333334,0.7994833333333333,90.91621978700005,269.08377855300023,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,53,evolution,2455,2403.55,2359,3000,0.8183333333333334,0.8011833333333334,92.50039576600011,267.4996027440002,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,54,evolution,2455,2398.0,2363,3000,0.8183333333333334,0.7993333333333333,94.09382298899982,265.9061754909999,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,55,evolution,2455,2399.9,2358,3000,0.8183333333333334,0.7999666666666667,95.7271082569996,264.272890403,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,56,evolution,2455,2403.45,2358,3000,0.8183333333333334,0.8011499999999999,97.34510863499963,262.6548901650003,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,56,restart,2455,2374.7,2321,3000,0.8183333333333334,0.7915666666666666,98.88482193099935,261.11517674900006,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,57,evolution,2455,2397.275,2341,3000,0.8183333333333334,0.7990916666666666,100.47113466799965,259.528863732,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,58,evolution,2455,2399.85,2364,3000,0.8183333333333334,0.7999499999999999,102.06457853099982,257.9354200890002,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,59,evolution,2455,2396.325,2362,3000,0.8183333333333334,0.7987749999999999,103.65220923800007,256.3477891720004,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,60,evolution,2455,2402.15,2363,3000,0.8183333333333334,0.8007166666666667,105.25971659199968,254.74028205800005,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,61,evolution,2455,2398.55,2369,3000,0.8183333333333334,0.7995166666666668,106.90638274199955,253.09361571800036,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,62,evolution,2455,2398.375,2357,3000,0.8183333333333334,0.7994583333333334,108.51244659699933,251.48755176299983,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,63,evolution,2455,2397.5,2359,3000,0.8183333333333334,0.7991666666666667,110.10381587199936,249.89618322800015,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,64,evolution,2455,2399.05,2362,3000,0.8183333333333334,0.7996833333333334,111.69518717599931,248.30481138400046,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,65,evolution,2455,2403.75,2368,3000,0.8183333333333334,0.80125,113.29798508299973,246.7020133470005,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,66,evolution,2455,2398.425,2362,3000,0.8183333333333334,0.799475,114.86753949099966,245.1324590690001,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,66,restart,2455,2379.25,2330,3000,0.8183333333333334,0.7930833333333334,116.43970816699948,243.56029088300056,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,67,evolution,2455,2397.15,2359,3000,0.8183333333333334,0.79905,118.04008729599991,241.95991144400068,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,68,evolution,2455,2398.15,2367,3000,0.8183333333333334,0.7993833333333333,119.63376103900009,240.36623796100048,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,69,evolution,2455,2395.5,2366,3000,0.8183333333333334,0.7985,121.21010990200011,238.78988888799995,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,70,evolution,2455,2398.65,2356,3000,0.8183333333333334,0.79955,122.80516834399987,237.19483015600053,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,71,evolution,2455,2396.425,2367,3000,0.8183333333333334,0.7988083333333333,124.38393995600018,235.6160585840007,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,72,evolution,2455,2396.775,2365,3000,0.8183333333333334,0.798925,125.99276531899977,234.00723338100033,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,73,evolution,2455,2396.325,2365,3000,0.8183333333333334,0.7987749999999999,127.57440857999973,232.42558990999987,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,74,evolution,2455,2398.65,2361,3000,0.8183333333333334,0.79955,129.15328313200007,230.84671560800052,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,75,evolution,2455,2397.925,2358,3000,0.8183333333333334,0.7993083333333334,130.72512182799983,229.27487697200013,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,76,evolution,2455,2399.6,2367,3000,0.8183333333333334,0.7998666666666666,132.32449408699995,227.67550481299986,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,76,restart,2455,2380.25,2345,3000,0.8183333333333334,0.7934166666666667,133.87486995699965,226.12512848300048,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,77,evolution,2455,2395.05,2367,3000,0.8183333333333334,0.7983500000000001,135.48427994899976,224.51571871099986,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,78,evolution,2455,2402.575,2360,3000,0.8183333333333334,0.8008583333333332,137.0978876169993,222.90211114300018,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,79,evolution,2455,2396.5,2369,3000,0.8183333333333334,0.7988333333333333,138.68780804299968,221.31219052800043,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,80,evolution,2455,2396.45,2362,3000,0.8183333333333334,0.7988166666666666,140.28433027399933,219.71566842599987,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,81,evolution,2455,2400.225,2368,3000,0.8183333333333334,0.800075,141.87488226799996,218.12511641200035,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,82,evolution,2455,2395.95,2364,3000,0.8183333333333334,0.79865,143.45771872800015,216.54227976200036,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,83,evolution,2455,2399.175,2364,3000,0.8183333333333334,0.799725,145.0594745059998,214.94052390400066,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,84,evolution,2455,2397.4,2364,3000,0.8183333333333334,0.7991333333333334,146.6680202789994,213.33197766100056,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,85,evolution,2455,2396.25,2366,3000,0.8183333333333334,0.79875,148.26619492899954,211.7338034909999,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,86,evolution,2455,2399.2,2360,3000,0.8183333333333334,0.7997333333333333,149.84868684899993,210.1513115910002,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,86,restart,2455,2378.375,2327,3000,0.8183333333333334,0.7927916666666667,151.38743371599958,208.61256429400055,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,87,evolution,2455,2398.925,2359,3000,0.8183333333333334,0.7996416666666667,152.97228373399957,207.02771487600057,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,88,evolution,2455,2397.5,2367,3000,0.8183333333333334,0.7991666666666667,154.56274992899944,205.43724855100027,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,89,evolution,2455,2396.025,2366,3000,0.8183333333333334,0.798675,156.1843191449998,203.81567906500004,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,90,evolution,2455,2398.05,2364,3000,0.8183333333333334,0.7993500000000001,157.77153170200017,202.22846654800014,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,91,evolution,2455,2400.875,2367,3000,0.8183333333333334,0.8002916666666666,159.37076453099962,200.6292341590006,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,92,evolution,2455,2399.025,2365,3000,0.8183333333333334,0.799675,161.00935533599932,198.99064327399992,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,93,evolution,2455,2401.25,2371,3000,0.8183333333333334,0.8004166666666667,162.60864297499938,197.39135560500017,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,94,evolution,2455,2398.8,2366,3000,0.8183333333333334,0.7996000000000001,164.21851597800014,195.78148254200005,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,95,evolution,2455,2392.775,2358,3000,0.8183333333333334,0.7975916666666667,165.8378202949998,194.16217849500026,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,96,evolution,2455,2399.8,2361,3000,0.8183333333333334,0.7999333333333334,167.46995756399974,192.53004058600072,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,96,restart,2455,2373.125,2328,3000,0.8183333333333334,0.7910416666666666,169.01877463499932,190.981223795,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,97,evolution,2455,2394.575,2355,3000,0.8183333333333334,0.7981916666666666,170.6266691689998,189.37332926100044,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,98,evolution,2455,2399.575,2367,3000,0.8183333333333334,0.7998583333333332,172.29633650399956,187.70366224600002,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,99,evolution,2455,2398.25,2370,3000,0.8183333333333334,0.7994166666666667,173.915784971,186.08421365899994,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,100,evolution,2455,2400.575,2368,3000,0.8183333333333334,0.8001916666666666,175.53250982999998,184.46748862000004,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,101,evolution,2455,2397.15,2361,3000,0.8183333333333334,0.79905,177.14455012100007,182.85544857900004,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,102,evolution,2455,2399.05,2362,3000,0.8183333333333334,0.7996833333333334,178.74622264899972,181.25377596100043,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,103,evolution,2455,2394.35,2357,3000,0.8183333333333334,0.7981166666666666,180.34802923699954,179.65196953299983,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,104,evolution,2455,2396.3,2363,3000,0.8183333333333334,0.7987666666666667,181.97230419100015,178.02769446900038,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,105,evolution,2455,2398.65,2357,3000,0.8183333333333334,0.79955,183.59439639599987,176.4056022040004,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,106,evolution,2455,2403.925,2356,3000,0.8183333333333334,0.8013083333333334,185.23744885799988,174.76254972200059,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,106,restart,2455,2381.725,2342,3000,0.8183333333333334,0.7939083333333333,186.85673934499937,173.14325929500046,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,107,evolution,2455,2400.725,2343,3000,0.8183333333333334,0.8002416666666666,188.46865108699967,171.5313479030001,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,108,evolution,2455,2403.8,2361,3000,0.8183333333333334,0.8012666666666667,190.07152377399962,169.92847434600026,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,109,evolution,2455,2401.15,2355,3000,0.8183333333333334,0.8003833333333333,191.68019501799972,168.31980377200034,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,110,evolution,2455,2400.5,2365,3000,0.8183333333333334,0.8001666666666667,193.29232515900003,166.7076737410007,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,111,evolution,2455,2399.55,2361,3000,0.8183333333333334,0.7998500000000001,194.88969412999995,165.1103042700006,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,112,evolution,2455,2400.7,2372,3000,0.8183333333333334,0.8002333333333332,196.537304339,163.46269447099985,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,113,evolution,2455,2396.025,2362,3000,0.8183333333333334,0.798675,198.15302326799974,161.84697517200038,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,114,evolution,2455,2396.6,2357,3000,0.8183333333333334,0.7988666666666666,199.75526664500012,160.24473202399986,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,115,evolution,2455,2398.075,2363,3000,0.8183333333333334,0.7993583333333333,201.36378979899928,158.63620883100066,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,116,evolution,2455,2396.225,2356,3000,0.8183333333333334,0.7987416666666667,202.9900266019995,157.00997217800068,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,116,restart,2455,2377.8,2337,3000,0.8183333333333334,0.7926000000000001,204.57817097799943,155.42182738200063,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,117,evolution,2455,2399.7,2354,3000,0.8183333333333334,0.7998999999999999,206.22097012099948,153.77902831000029,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,118,evolution,2455,2394.725,2357,3000,0.8183333333333334,0.7982416666666666,207.83642858999974,152.16357005999998,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,119,evolution,2455,2397.7,2356,3000,0.8183333333333334,0.7992333333333332,209.43444843999987,150.5655501300007,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,120,evolution,2455,2400.725,2366,3000,0.8183333333333334,0.8002416666666666,211.04609165199963,148.9539068590002,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,121,evolution,2455,2404.325,2369,3000,0.8183333333333334,0.8014416666666666,212.66875241700018,147.33124587400016,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,122,evolution,2455,2398.25,2364,3000,0.8183333333333334,0.7994166666666667,214.28440875599972,145.71558963400003,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,123,evolution,2455,2400.825,2354,3000,0.8183333333333334,0.800275,215.91878196299967,144.08121647700045,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,124,evolution,2455,2404.35,2354,3000,0.8183333333333334,0.80145,217.55787781799972,142.4421206320003,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,125,evolution,2455,2399.6,2372,3000,0.8183333333333334,0.7998666666666666,219.16696162100015,140.83303706900006,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Exponential,Exponential_200_300_80,126,evolution,2455,2402.575,2360,3000,0.8183333333333334,0.8008583333333332,220.78138763100014,139.2186110190005,10,40,5,0.85,0.75,pmx,mixed,3,random,42
