dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
Uniform,Uniform_150_225_60,0,init,2092,2077.325,2061,2250,0.9297777777777778,0.9232555555555555,1.5798616460015182,358.4201376339988,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,1,evolution,2126,2099.725,2073,2250,0.9448888888888889,0.9332111111111111,3.049582340001507,356.95041629000116,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,2,evolution,2126,2101.775,2077,2250,0.9448888888888889,0.9341222222222223,4.512854608001362,355.48714375200143,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,3,evolution,2127,2101.575,2081,2250,0.9453333333333334,0.9340333333333333,5.957315708001261,354.0426826319999,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,4,evolution,2127,2102.525,2081,2250,0.9453333333333334,0.9344555555555556,7.421186886000214,352.57881142399856,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,5,evolution,2127,2104.1,2076,2250,0.9453333333333334,0.9351555555555555,8.873843301000306,351.12615524899957,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,6,evolution,2127,2106.65,2090,2250,0.9453333333333334,0.936288888888889,10.380449652999232,349.6195492270017,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,7,evolution,2127,2103.025,2083,2250,0.9453333333333334,0.9346777777777778,11.843780480998248,348.15621821899913,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,8,evolution,2127,2102.95,2086,2250,0.9453333333333334,0.9346444444444444,13.29523850699843,346.7047598829995,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,9,evolution,2127,2106.575,2082,2250,0.9453333333333334,0.9362555555555555,14.753036837999389,345.2469617120005,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,10,evolution,2127,2102.825,2081,2250,0.9453333333333334,0.9345888888888888,16.221045564001543,343.7789527060013,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,11,evolution,2127,2102.7,2074,2250,0.9453333333333334,0.9345333333333332,17.68267550300152,342.3173227369989,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,12,evolution,2130,2105.45,2085,2250,0.9466666666666667,0.9357555555555555,19.16767463799988,340.83232379200126,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,13,evolution,2130,2103.2,2073,2250,0.9466666666666667,0.9347555555555555,20.634566114000336,339.3654323560004,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,14,evolution,2130,2105.3,2086,2250,0.9466666666666667,0.935688888888889,22.090337147001264,337.90966087299967,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,15,evolution,2130,2105.6,2082,2250,0.9466666666666667,0.9358222222222222,23.525571352998668,336.474427227,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,16,evolution,2135,2106.825,2083,2250,0.9488888888888889,0.9363666666666666,24.96007144900068,335.0399271610004,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,17,evolution,2135,2109.075,2085,2250,0.9488888888888889,0.9373666666666666,26.408749106998584,333.59124923299896,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,18,evolution,2135,2107.45,2083,2250,0.9488888888888889,0.9366444444444444,27.869164406998607,332.13083417300004,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,19,evolution,2135,2109.375,2089,2250,0.9488888888888889,0.9375,29.38118152500101,330.6188170150017,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,20,evolution,2135,2107.575,2086,2250,0.9488888888888889,0.9366999999999999,30.83534797899847,329.16465064099975,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,21,evolution,2135,2109.275,2082,2250,0.9488888888888889,0.9374555555555556,32.309639300001436,327.6903596890006,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,22,evolution,2135,2107.8,2082,2250,0.9488888888888889,0.9368000000000001,33.77622789700035,326.22377040300125,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,23,evolution,2135,2107.525,2081,2250,0.9488888888888889,0.9366777777777778,35.2190358480002,324.7809628819996,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,24,evolution,2135,2108.075,2084,2250,0.9488888888888889,0.9369222222222221,36.65356291400167,323.34643558600146,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,25,evolution,2135,2108.5,2084,2250,0.9488888888888889,0.9371111111111111,38.09519200599971,321.90480665400173,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,26,evolution,2135,2110.075,2087,2250,0.9488888888888889,0.937811111111111,39.581198640000366,320.4187990899991,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,26,restart,2135,2083.775,2059,2250,0.9488888888888889,0.9261222222222223,41.073296381000546,318.92670229899886,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,27,evolution,2135,2102.925,2067,2250,0.9488888888888889,0.9346333333333334,42.544736764000845,317.4552618960006,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,28,evolution,2135,2106.375,2083,2250,0.9488888888888889,0.9361666666666667,44.02391806200103,315.9760804180005,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,29,evolution,2135,2106.325,2082,2250,0.9488888888888889,0.9361444444444443,45.48711544099933,314.5128830190006,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,30,evolution,2136,2112.075,2085,2250,0.9493333333333334,0.9386999999999999,46.93634135799948,313.06365728200035,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,31,evolution,2136,2109.3,2086,2250,0.9493333333333334,0.9374666666666668,48.407979091000016,311.5920195889994,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,32,evolution,2136,2109.475,2086,2250,0.9493333333333334,0.9375444444444444,49.87281308800084,310.1271854020015,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,33,evolution,2136,2109.475,2088,2250,0.9493333333333334,0.9375444444444444,51.32578643300076,308.67421191700123,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,34,evolution,2136,2110.9,2078,2250,0.9493333333333334,0.9381777777777778,52.791420459998335,307.20857796999917,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,35,evolution,2136,2107.7,2087,2250,0.9493333333333334,0.9367555555555555,54.238762458000565,305.7612365620007,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,36,evolution,2136,2109.1,2073,2250,0.9493333333333334,0.9373777777777778,55.69762720899962,304.30237110099915,6,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,37,evolution,2136,2111.75,2086,2250,0.9493333333333334,0.9385555555555556,57.16246374700131,302.8375346440007,7,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,38,evolution,2136,2112.75,2088,2250,0.9493333333333334,0.939,58.589355317999434,301.4106435020003,8,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,39,evolution,2136,2109.35,2082,2250,0.9493333333333334,0.9374888888888888,60.067232827001135,299.9327658430011,9,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,40,evolution,2136,2110.825,2088,2250,0.9493333333333334,0.9381444444444443,61.54604206500153,298.4539565949999,10,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,40,restart,2136,2084.45,2055,2250,0.9493333333333334,0.9264222222222221,63.0291577220014,296.97084100899883,0,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,41,evolution,2136,2102.15,2076,2250,0.9493333333333334,0.934288888888889,64.5072209309983,295.49277780899865,1,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,42,evolution,2136,2107.625,2082,2250,0.9493333333333334,0.9367222222222222,65.97962528299831,294.0203733369999,2,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,43,evolution,2136,2107.025,2080,2250,0.9493333333333334,0.9364555555555556,67.42468160299904,292.57531664699854,3,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,44,evolution,2136,2107.725,2077,2250,0.9493333333333334,0.9367666666666666,68.90041367400045,291.0995849969986,4,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,45,evolution,2136,2106.925,2083,2250,0.9493333333333334,0.9364111111111112,70.38941748499929,289.61058133500046,5,40,5,0.85,0.75,pmx,mixed,3,random,42
Uniform,Uniform_150_225_60,46,evolution,2136,2107.9,2088,2250,0.9493333333333334,0.9368444444444445,71.83709154299868,288.16290698599914,6,40,5,0.85,0.75,pmx,mixed,3,random,42
