dataset,file,generation,phase,best_fitness,avg_fitness,worst_fitness,total_tasks,best_rate,avg_rate,elapsed_sec,remaining_sec,stagnant,population_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed
hustack,hustack09,0,init,284,281.525,278,327,0.8685015290519877,0.8609327217125382,0.1308547090011416,44.86914469099793,0,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,1,evolution,284,282.625,281,327,0.8685015290519877,0.8642966360856269,0.24031232000197633,44.75968651999938,1,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,2,evolution,284,282.8,281,327,0.8685015290519877,0.8648318042813457,0.3509763809997821,44.64902264899865,2,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,3,evolution,284,283.125,280,327,0.8685015290519877,0.8658256880733946,0.46263028100293013,44.5373689879998,3,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,4,evolution,284,282.85,279,327,0.8685015290519877,0.8649847094801224,0.5758170510016498,44.424181839000084,4,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,5,evolution,284,283.05,281,327,0.8685015290519877,0.8655963302752294,0.6869620520010358,44.31303678800032,5,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,6,evolution,284,282.825,279,327,0.8685015290519877,0.8649082568807339,0.798830261999683,44.20116914800019,6,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,7,evolution,284,282.9,280,327,0.8685015290519877,0.865137614678899,0.9077086240031349,44.09229060599682,7,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,8,evolution,284,283.05,280,327,0.8685015290519877,0.8655963302752294,1.0161000760017487,43.98389921399939,8,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,9,evolution,284,282.975,281,327,0.8685015290519877,0.8653669724770643,1.129555995001283,43.870443184998294,9,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,10,evolution,284,282.9,279,327,0.8685015290519877,0.865137614678899,1.2428604140004609,43.75713860599717,10,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,10,restart,284,282.85,281,327,0.8685015290519877,0.8649847094801224,1.3531046660027641,43.64689486499992,0,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,11,evolution,284,283.05,280,327,0.8685015290519877,0.8655963302752294,1.4643648060009582,43.53563414399832,1,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,12,evolution,284,283.075,281,327,0.8685015290519877,0.8656727828746177,1.5752390270026808,43.42475980299787,2,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,13,evolution,284,283.225,281,327,0.8685015290519877,0.8661314984709481,1.6865044370024407,43.313494432997686,3,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,14,evolution,284,283.25,280,327,0.8685015290519877,0.8662079510703364,1.8042635040001187,43.19573560599747,4,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,15,evolution,284,283.175,281,327,0.8685015290519877,0.8659785932721713,1.9202958710011444,43.07970313899932,5,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,16,evolution,284,282.875,280,327,0.8685015290519877,0.8650611620795107,2.0311200720025226,42.96887898799832,6,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,17,evolution,284,283.05,280,327,0.8685015290519877,0.8655963302752294,2.1428413720022945,42.85715747799986,7,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,18,evolution,284,283.075,279,327,0.8685015290519877,0.8656727828746177,2.2580206700004055,42.74197804999858,8,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,19,evolution,284,283.0,281,327,0.8685015290519877,0.8654434250764526,2.3685852810012875,42.63141385899871,9,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,20,evolution,284,282.95,280,327,0.8685015290519877,0.8652905198776758,2.480528291001974,42.519470418999845,10,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,20,restart,284,283.025,279,327,0.8685015290519877,0.8655198776758409,2.5898301630004426,42.41016936699816,0,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,21,evolution,284,282.85,279,327,0.8685015290519877,0.8649847094801224,2.700769974002469,42.29922913599876,1,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,22,evolution,284,283.325,281,327,0.8685015290519877,0.8664373088685015,2.809762076001789,42.19023682399711,2,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,23,evolution,284,283.45,282,327,0.8685015290519877,0.8668195718654433,2.9185411680009565,42.08145810199858,3,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,24,evolution,284,283.35,281,327,0.8685015290519877,0.8665137614678899,3.0278448300014134,41.97215446100017,4,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,25,evolution,284,282.575,279,327,0.8685015290519877,0.8641437308868501,3.1383819910006423,41.861617179998575,5,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,26,evolution,284,283.4,282,327,0.8685015290519877,0.8666666666666666,3.2520057990004716,41.747993261000374,6,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,27,evolution,284,282.925,280,327,0.8685015290519877,0.8652140672782875,3.3628048099999432,41.637193819999084,7,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,28,evolution,284,283.25,279,327,0.8685015290519877,0.8662079510703364,3.474640091000765,41.525359059996845,8,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,29,evolution,284,283.175,280,327,0.8685015290519877,0.8659785932721713,3.5838669520016992,41.41613211799995,9,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,30,evolution,284,283.175,280,327,0.8685015290519877,0.8659785932721713,3.693894544001523,41.306087135999405,10,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,30,restart,284,282.925,280,327,0.8685015290519877,0.8652140672782875,3.805486004002887,41.194513045997155,0,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,31,evolution,284,283.15,280,327,0.8685015290519877,0.8659021406727828,3.9179207640008826,41.08207844599747,1,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,32,evolution,284,283.225,281,327,0.8685015290519877,0.8661314984709481,4.036096480002016,40.96390225999858,2,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,33,evolution,284,283.275,281,327,0.8685015290519877,0.8662844036697247,4.147660170001473,40.852338489999966,3,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,34,evolution,284,283.1,280,327,0.8685015290519877,0.8657492354740062,4.264263147000747,40.73573572299938,4,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,35,evolution,284,282.85,280,327,0.8685015290519877,0.8649847094801224,4.375212508002733,40.624786201999086,5,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,36,evolution,284,282.975,279,327,0.8685015290519877,0.8653669724770643,4.485351019000518,40.514647940999566,6,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,37,evolution,284,283.4,281,327,0.8685015290519877,0.8666666666666666,4.595400199999858,40.40459882899813,7,40,5,0.85,0.75,pmx,mixed,3,random,42
hustack,hustack09,38,evolution,284,282.95,281,327,0.8685015290519877,0.8652905198776758,4.705683751002653,40.29431556899726,8,40,5,0.85,0.75,pmx,mixed,3,random,42
