dataset,file,obj,total_cc,success_rate,greedy_baseline,ga_best,diff_vs_greedy,time_sec,status,pop_size,elite,crossover_rate,mutation_rate,crossover_type,mutation_type,tournament_k,init_mode,seed,time_limit
Adversarial,Adversarial_20_30_10,156,200,0.78,157,156,-1,20.002378743999998,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Adversarial,Adversarial_50_75_20,489,750,0.652,493,489,-4,90.017951945,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Adversarial,Adversarial_80_120_32,1064,1200,0.8866666666666667,1064,1064,0,180.02600646499997,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Adversarial,Adversarial_100_150_40,1385,1500,0.9233333333333333,1390,1385,-5,180.027969234,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Adversarial,Adversarial_150_225_60,2005,2250,0.8911111111111111,2022,2005,-17,360.0137304269999,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_200_300_80,2666,3000,0.8886666666666667,2681,2666,-15,360.0434830030001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_300_450_120,3907,4500,0.8682222222222222,3924,3907,-17,360.095166498,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Adversarial,Adversarial_500_750_200,6582,7499,0.8777170289371916,6630,6582,-48,600.0986985119998,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Adversarial,Adversarial_800_1200_320,10522,12000,0.8768333333333334,10608,10522,-86,900.5030967800003,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Adversarial,Adversarial_1000_1500_400,13140,15000,0.876,13211,13140,-71,900.4833233619997,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Exponential,Exponential_20_30_10,186,200,0.93,188,186,-2,19.957934872000806,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Exponential,Exponential_50_75_20,369,750,0.492,376,369,-7,90.0114472260002,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Exponential,Exponential_80_120_32,746,1200,0.6216666666666667,760,746,-14,180.0193884549999,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Exponential,Exponential_100_150_40,1122,1500,0.748,1112,1122,10,180.02501811599996,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Exponential,Exponential_150_225_60,1923,2250,0.8546666666666667,1936,1923,-13,360.00277081399963,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_200_300_80,2455,3000,0.8183333333333334,2478,2455,-23,360.0305463859995,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_300_450_120,4008,4500,0.8906666666666667,4030,4008,-22,360.0844872789994,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Exponential,Exponential_500_750_200,6970,7500,0.9293333333333333,6993,6970,-23,600.0813395590003,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Exponential,Exponential_800_1200_320,11409,12000,0.95075,11450,11409,-41,900.457323091,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Exponential,Exponential_1000_1500_400,14366,15000,0.9577333333333333,14414,14366,-48,900.6462001369991,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Gaussian,Gaussian_20_30_10,163,200,0.815,159,163,4,20.00319575299909,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Gaussian,Gaussian_50_75_20,687,750,0.916,687,687,0,90.01408045700009,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Gaussian,Gaussian_80_120_32,1158,1200,0.965,1151,1158,7,180.02328510699954,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Gaussian,Gaussian_100_150_40,1448,1500,0.9653333333333334,1432,1448,16,180.01797655100017,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Gaussian,Gaussian_150_225_60,2189,2250,0.9728888888888889,2171,2189,18,360.0234769660001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_200_300_80,2939,3000,0.9796666666666667,2904,2939,35,360.0759405640001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_300_450_120,4387,4500,0.9748888888888889,4363,4387,24,360.15188160900107,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Gaussian,Gaussian_500_750_200,7412,7499,0.9883984531270836,7400,7412,12,600.2716923100015,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Gaussian,Gaussian_800_1200_320,11814,12000,0.9845,11787,11814,27,900.6364728970002,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Gaussian,Gaussian_1000_1500_400,14801,15000,0.9867333333333334,14770,14801,31,901.5848724169991,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Poisson,Poisson_20_30_10,147,200,0.735,140,147,7,19.97313936000137,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Poisson,Poisson_50_75_20,617,750,0.8226666666666667,620,617,-3,90.01463028800026,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Poisson,Poisson_80_120_32,1120,1200,0.9333333333333333,1114,1120,6,180.0191361369998,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Poisson,Poisson_100_150_40,1411,1500,0.9406666666666667,1417,1411,-6,180.0219402319999,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Poisson,Poisson_150_225_60,2213,2250,0.9835555555555555,2213,2213,0,360.02884141600043,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_200_300_80,2954,3000,0.9846666666666667,2932,2954,22,360.04162468899995,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_300_450_120,4466,4500,0.9924444444444445,4449,4466,17,360.1092593630001,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
Poisson,Poisson_500_750_200,7332,7500,0.9776,7312,7332,20,600.1305608130006,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,600
Poisson,Poisson_800_1200_320,11797,12000,0.9830833333333333,11805,11797,-8,900.6825737589988,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Poisson,Poisson_1000_1500_400,14636,14999,0.9757983865591039,14563,14636,73,900.8564890969992,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,900
Uniform,Uniform_20_30_10,189,200,0.945,184,189,5,19.980450173001373,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,20
Uniform,Uniform_50_75_20,647,750,0.8626666666666667,648,647,-1,90.01324962899889,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,90
Uniform,Uniform_80_120_32,1123,1200,0.9358333333333333,1126,1123,-3,180.01590832100192,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_100_150_40,1383,1500,0.922,1386,1383,-3,179.99893045299905,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,180
Uniform,Uniform_150_225_60,2138,2250,0.9502222222222222,2122,2138,16,360.0377522469971,VALID,40,5,0.85,0.75,pmx,mixed,3,,42,360
